batter,team,role,Test 1_Innings_1,Test 1_Innings_2,Test 2_Innings_1,Test 2_Innings_2,Test 3_Innings_1,Test 3_Innings_2,Test 4_Innings_1,Test 4_Innings_2,Test 5_Innings_1,Test 5_Innings_2
Ali,Eng,allrounder,Batting at number 8 scored 0 runs from 5 balls including 0 fours and 0 sixes.,Batting at number 8 scored 4 runs from 28 balls including 0 fours and 0 sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.
Anderson,England,bowl,Batting at number 11 scored 3 runs from 19 balls including 0 fours and 0 sixes.,Batting at number 11 scored 4 runs from 9 balls including 1 fours and 0 sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.
Archer,England,bowl,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number 9 scored 12 runs from 20 balls including 2 fours and 0 sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number 9 scored 7 runs from 8 balls including 1 fours and 0 sixes.,Batting at number 9 scored 15 runs from 33 balls including 3 fours and 0 sixes.,Batting at number 9 scored 1 runs from 19 balls including 0 fours and 0 sixes.,Batting at number 9 scored 1 runs from 9 balls including 0 fours and 0 sixes.,Batting at number 9 scored 9 runs from 16 balls including 2 fours and 0 sixes.,Batting at number 9 scored 3 runs from 9 balls including 0 fours and 0 sixes.
Bairstow,England,wicketkeeper,Batting at number 7 scored 8 runs from 35 balls including 1 fours and 0 sixes.,Batting at number 7 scored 6 runs from 8 balls including 1 fours and 0 sixes.,Batting at number 7 scored 52 runs from 95 balls including 7 fours and 0 sixes.,Batting at number 7 scored 30 runs from 37 balls including 1 fours and 2 sixes.,Batting at number 6 scored 4 runs from 15 balls including 1 fours and 0 sixes.,Batting at number 6 scored 36 runs from 68 balls including 4 fours and 0 sixes.,Batting at number 7 scored 17 runs from 37 balls including 2 fours and 0 sixes.,Batting at number 6 scored 25 runs from 61 balls including 1 fours and 0 sixes.,Batting at number 5 scored 22 runs from 55 balls including 3 fours and 0 sixes.,Batting at number 5 scored 14 runs from 24 balls including 3 fours and 0 sixes.
Bancroft,Aus,bat,Batting at number 1 scored 8 runs from 25 balls including 2 fours and 0 sixes.,Batting at number 1 scored 7 runs from 31 balls including 1 fours and 0 sixes.,Batting at number 1 scored 13 runs from 66 balls including 1 fours and 0 sixes.,Batting at number 1 scored 16 runs from 40 balls including 2 fours and 0 sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.
Broad,England,bowler,Batting at number 10 scored 29 runs from 67 balls including 2 fours and 0 sixes.,Batting at number 10 scored 0 runs from 1 balls including 0 fours and 0 sixes.,Batting at number 10 scored 11 runs from 15 balls including 2 fours and 0 sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number 10 scored 4 runs from 5 balls including 1 fours and 0 sixes.,Batting at number 10 scored 0 runs from 2 balls including 0 fours and 0 sixes.,Batting at number 10 scored 5 runs from 29 balls including 0 fours and 0 sixes.,Batting at number 11 scored 0 runs from 3 balls including 0 fours and 0 sixes.,Batting at number 11 scored 0 runs from 5 balls including 0 fours and 0 sixes.,Batting at number 11 scored 12 runs from 9 balls including 0 fours and 2 sixes.
Burns,England,bat,Batting at number 1 scored 133 runs from 312 balls including 17 fours and 0 sixes.,Batting at number 1 scored 11 runs from 33 balls including 1 fours and 0 sixes.,Batting at number 1 scored 53 runs from 127 balls including 7 fours and 0 sixes.,Batting at number 1 scored 29 runs from 52 balls including 3 fours and 0 sixes.,Batting at number 1 scored 9 runs from 28 balls including 1 fours and 0 sixes.,Batting at number 1 scored 7 runs from 21 balls including 0 fours and 0 sixes.,Batting at number 1 scored 81 runs from 185 balls including 9 fours and 0 sixes.,Batting at number 1 scored 0 runs from 3 balls including 0 fours and 0 sixes.,Batting at number 1 scored 47 runs from 87 balls including 7 fours and 0 sixes.,Batting at number 1 scored 20 runs from 48 balls including 4 fours and 0 sixes.
Buttler,England,bat,Batting at number 5 scored 5 runs from 10 balls including 1 fours and 0 sixes.,Batting at number 5 scored 1 runs from 25 balls including 0 fours and 0 sixes.,Batting at number 5 scored 12 runs from 23 balls including 1 fours and 0 sixes.,Batting at number 6 scored 31 runs from 108 balls including 3 fours and 0 sixes.,Batting at number 7 scored 5 runs from 16 balls including 1 fours and 0 sixes.,Batting at number 7 scored 1 runs from 9 balls including 0 fours and 0 sixes.,Batting at number 8 scored 41 runs from 65 balls including 7 fours and 0 sixes.,Batting at number 7 scored 34 runs from 111 balls including 4 fours and 0 sixes.,Batting at number 6 scored 70 runs from 98 balls including 7 fours and 3 sixes.,Batting at number 6 scored 47 runs from 63 balls including 6 fours and 0 sixes.
Cummins,Australia,bowler,Batting at number 9 scored 5 runs from 10 balls including 1 fours and 0 sixes.,Batting at number 9 scored 26 runs from 33 balls including 2 fours and 0 sixes.,Batting at number 8 scored 20 runs from 80 balls including 3 fours and 0 sixes.,Batting at number 8 scored 1 runs from 17 balls including 0 fours and 0 sixes.,Batting at number 9 scored 0 runs from 13 balls including 0 fours and 0 sixes.,Batting at number 9 scored 6 runs from 6 balls including 1 fours and 0 sixes.,Batting at number 8 scored 4 runs from 9 balls including 1 fours and 0 sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number 8 scored 0 runs from 1 balls including 0 fours and 0 sixes.,Batting at number 8 scored 9 runs from 41 balls including 1 fours and 0 sixes.
Curran,England,bowl,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number NA scored NA including NA fours and NA sixes.,Batting at number 7 scored 15 runs from 13 balls including 1 fours and 1 sixes.,Batting at number 7 scored 17 runs from 26 balls including 2 fours and 0 sixes.
